Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;Cartografia;CAR;Quilombo;Rio Verde;APP HIDRO;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Vegetação Nativa;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Hidrografia;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Área Consolidada;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Área de Pousio;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Servidão Administrativa;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Uso Restrito;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Sobreposição de área no CAR;Shapefile;Análise a partir de dados do INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Posíveis lindeiros a partir do CAR;Shapefile;Análise a partir de dados do INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Levantamento dos CARs em sobreposição e lindeiros;Tabela;Análise a partir de dados do INCRA (2024)
Dado;Cartografia;Limite administrativo;Municipal;Guaraqueçaba;20011,357 km²;Dado Bruto;IBGE (2022)
Dado;Cartografia;Localizaçao;Municipal;Guaraqueçaba;Localização e localidades (quilombos, projetos de assentamento e TIs);Mapa;IBGE (2010)
Dado;Cartografia;Limite administrativo;Municipal;Guaraqueçaba;Limite municipal;Shapefile;SEMA (2024)
Dado;Cartografia;Localizaçao;Municipal;Guaraqueçaba;Localização das comunidades quilombolas de Guaraqueçaba;Mapa;IAT (2017)
Dado;Ambiental;MAPBIOMAS;Municipal;Guaraqueçaba;Cobertura do solo;Fonte;MapBiomas (2024)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;Localização;Mapa;ICMBio (2016)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;Limite;Mapa;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;Limite;Mapa;ICMBio (2023)
